ID	CanonID	Title	TitleTemp	Filename	Jahr	Date	Authors	Place	Caption	Camera	Nix
6638	91	2004CG-0090-Ulli&BryoninCondo.jpg	2004CG-0090-Ulli&BryoninCondo.jpg	2004CG-0090-Ulli&BryoninCondo.jpg	2004		Miriam Garfinkle	Ulli's condo		Canon G5	
6639	92	2004CG-0091-MiriaminCondo.jpg	2004CG-0091-MiriaminCondo.jpg	2004CG-0091-MiriaminCondo.jpg	2004		Ulli Diemer	Ulli's condo		Canon G5	
6640	93	2004CG-0092-MiriaminCondo.jpg	2004CG-0092-MiriaminCondo.jpg	2004CG-0092-MiriaminCondo.jpg	2004		Ulli Diemer	Ulli's condo		Canon G5	
6641	94	2005CG-0001-LookingDownBathurst.jpg	2005CG-0001-LookingDownBathurst.jpg	2005CG-0001-LookingDownBathurst.jpg	2005		Ulli Diemer	Bathurst & College		Canon G5	
6642	95	2005CG-0002-BathurstStreetatCollege.jpg	2005CG-0002-BathurstStreetatCollege.jpg	2005CG-0002-BathurstStreetatCollege.jpg	2005		Ulli Diemer	Bathurst & College		Canon G5	
6643	96	2005CG-0003-RobertMassoud&Miriam.jpg	2005CG-0003-RobertMassoud&Miriam.jpg	2005CG-0003-RobertMassoud&Miriam.jpg	2005		Ulli Diemer	St. Barnabuas Church		Canon G5	
6644	97	2005CG-0004-RobertMassoud&Miriam.jpg	2005CG-0004-RobertMassoud&Miriam.jpg	2005CG-0004-RobertMassoud&Miriam.jpg	2005		Ulli Diemer	St. Barnabuas Church		Canon G5	
6645	98	2005CG-0005-RobertMassoud&Miriam.jpg	2005CG-0005-RobertMassoud&Miriam.jpg	2005CG-0005-RobertMassoud&Miriam.jpg	2005		Ulli Diemer	St. Barnabuas Church		Canon G5	
6646	99	2005CG-0006-BathurstStreet.jpg	2005CG-0006-BathurstStreet.jpg	2005CG-0006-BathurstStreet.jpg	2005		Ulli Diemer	Bathurst Street		Canon G5	
6647	100	2005CG-0007-BathurstStreet.jpg	2005CG-0007-BathurstStreet.jpg	2005CG-0007-BathurstStreet.jpg	2005		Ulli Diemer	Bathurst Street		Canon G5	
6648	101	2005CG-0008-AmelieinCactusPlants.jpg	2005CG-0008-AmelieinCactusPlants.jpg	2005CG-0008-AmelieinCactusPlants.jpg	2005		Ulli Diemer			Canon G5	
6649	102	2005CG-0009-AmelieinCactusPlants.jpg	2005CG-0009-AmelieinCactusPlants.jpg	2005CG-0009-AmelieinCactusPlants.jpg	2005		Ulli Diemer			Canon G5	
6650	103	2005CG-0010-AmelieinCactusPlants.jpg	2005CG-0010-AmelieinCactusPlants.jpg	2005CG-0010-AmelieinCactusPlants.jpg	2005		Ulli Diemer			Canon G5	
6651	104	2005CG-0011-AmelieinCactusPlants.jpg	2005CG-0011-AmelieinCactusPlants.jpg	2005CG-0011-AmelieinCactusPlants.jpg	2005		Ulli Diemer			Canon G5	
6652	105	2005CG-0012-AmelieinCactusPlants.jpg	2005CG-0012-AmelieinCactusPlants.jpg	2005CG-0012-AmelieinCactusPlants.jpg	2005		Ulli Diemer			Canon G5	
6653	106	2005CG-0013-LanewaybetweenBathurst&Markham.jpg	2005CG-0013-LanewaybetweenBathurst&Markham.jpg	2005CG-0013-LanewaybetweenBathurst&Markham.jpg	2005		Ulli Diemer	Laneway Bathurst & Markham		Canon G5	
6654	107	2005CG-0014-LanewaybetweenBathurst&Markham.jpg	2005CG-0014-LanewaybetweenBathurst&Markham.jpg	2005CG-0014-LanewaybetweenBathurst&Markham.jpg	2005		Ulli Diemer	Laneway Bathurst & Markham		Canon G5	
6655	108	2005CG-0015-LanewaybetweenBathurst&Markham.jpg	2005CG-0015-LanewaybetweenBathurst&Markham.jpg	2005CG-0015-LanewaybetweenBathurst&Markham.jpg	2005		Ulli Diemer	Laneway Bathurst & Markham		Canon G5	
6656	109	2005CG-0016-EastAcrossBathurst.jpg	2005CG-0016-EastAcrossBathurst.jpg	2005CG-0016-EastAcrossBathurst.jpg	2005		Ulli Diemer	Bathurst Street		Canon G5	
6657	110	2005CG-0017-LanewaytoMarkham.jpg	2005CG-0017-LanewaytoMarkham.jpg	2005CG-0017-LanewaytoMarkham.jpg	2005		Ulli Diemer	near Markham Street		Canon G5	
6658	111	2005CG-0018-LanewayWestofBathurst.jpg	2005CG-0018-LanewayWestofBathurst.jpg	2005CG-0018-LanewayWestofBathurst.jpg	2005		Ulli Diemer	near Bathurst Street		Canon G5	
